"species","region","culabel","faz","fm_start","fm_peak","fm_end","n_fm","fm_dat_qual","oe_start","oe_peak","oe_end","n_oe","oe_dat_qual","rt_start","rt_peak","rt_end","n_rt","rt_dat_qual","sp_start","sp_peak","sp_end","n_sp","dat_qual","arrival","n_arrival","fm_source_faz","oe_source_faz","oe_age","inc_start","inc_end","rear_start","rear_end","mig_start","mig_end"
"CK","central coast","Bella Coola-Bentinck","BCD",72,92,120,0,6,101,127,144,4,4,166,NA,NA,0,5,231.423461911237,257.632742020723,283.841763323029,62,1,152.408559137238,61,"HK","BCD","0+",231.423461911237,120,72,144,166,283.841763323029
"CK","central coast","Dean River","BCD",72,92,120,0,6,101,127,144,0,6,150,NA,NA,0,5,221.207286398953,242.701851756131,264.196360226002,43,1,167.15991002064,33,"HK","BCD","1+",221.207286398953,120,1,365,150,264.196360226002
"CK","central coast","Docee","RSI",72,92,120,0,6,101,127,144,0,6,218,NA,NA,0,5,253.643129383439,274.738471931382,295.833947110576,43,1,223.942204208906,31,"HK","BCD","0+",253.643129383439,120,72,144,218,295.833947110576
"CK","central coast","North & Central Coast-Early","NC",81,100,128,24,1,83.4,107.6,156,5,2,161,NA,NA,0,5,215.339502120144,233.136482090748,250.933477554218,679,1,180.772654787688,556,NA,"NC","0+",215.339502120144,128,81,156,161,250.933477554218
"CK","central coast","North & Central Coast-Late","NC",81,100,128,0,6,83,108,156,0,6,185,NA,NA,0,5,216.319050234111,239.122113156812,261.925007886259,100,1,199.690158668458,68,NA,"NC","0+",216.319050234111,128,81,156,185,261.925007886259
"CK","central coast","Rivers Inlet","RSI",72,92,120,0,6,101,127,144,0,6,195,NA,NA,0,5,227.863261713481,247.217594110622,266.571899270128,258,1,212.22893479898,187,"HK","BCD","1+",227.863261713481,120,1,365,195,266.571899270128
"CK","central coast","Wannock","RSI",72,92,120,0,6,101,127,144,0,6,212,NA,NA,0,5,260.221771323733,291.801892194006,323.382038123557,41,1,220.488636840032,24,"HK","BCD","0+",260.221771323733,120,72,144,212,323.382038123557
"CK","columbia","Okanagan","OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.36,279,296.64,1,5,NA,NA,NA,0,6,NA,0,"","","1+",NA,NA,1,365,261.36,NA
"CK","fraser","Boundary Bay (Fall 4-1)","BB",63,90,116,0,6,150,154,163,1,5,235,256,290,0,6,278.163604856133,319.109755953138,360.054541342322,1,4,298.59353767328,3,"EVI","BB","0+",278.163604856133,116,63,163,235,360.054541342322
"CK","fraser","Fraser-Harrison Fall Transplant (Fall 4-1)","LFR",63,90,116,0,6,123,145,177,0,6,235,256,290,0,6,242.0394874,NA,283.4395149,0,6,227.0485852,0,"EVI","MFR","0+",242.0394874,116,63,177,235,283.4395149
"CK","fraser","Fraser Canyon-Nahatlatch (Spring 5-2)","FRCany",109,130,151,0,6,123,145,177,0,6,119,171,233,0,6,250.596427876226,266.380167415603,282.163990347584,39,1,244.850713209153,28,"MFR","MFR","1+",250.596427876226,151,1,365,119,282.163990347584
"CK","fraser","Lower Fraser River-Maria Slough (Summer 4-1)","LFR",63,90,116,0,6,123,145,177,0,6,208,225,231,2,3,264.470858336656,286.533734637454,308.596582154582,41,1,262.987221180933,28,"EVI","MFR","0+",264.470858336656,116,63,177,208,308.596582154582
"CK","fraser","Lower Fraser River-Upper Pitt (Summer 5-2)","LFR",63,90,116,0,6,123,145,177,0,6,169,203,229,0,6,218.678414884864,239.884482660095,261.090911290109,34,2,215.905543014744,20,"EVI","MFR","1+",218.678414884864,116,1,365,169,261.090911290109
"CK","fraser","Lower Fraser River (Fall 4-1)","LFR",63,90,116,0,6,126,151,165,1,5,241,256,289,2,3,285.121885463817,313.197611668974,341.273348799689,35,1,287.496298497734,30,"EVI","LFR","0+",285.121885463817,116,63,165,241,341.273348799689
"CK","fraser","Lower Fraser River (Spring 5-2)","LFR",63,90,116,0,6,123,145,177,0,6,91,98,149,2,3,133.776082168779,172.628338637409,211.481051400585,27,5,127.307741356047,13,"EVI","MFR","1+",133.776082168779,116,1,365,91,211.481051400585
"CK","fraser","Lower Fraser River (Summer 5-2)","LFR",63,90,116,0,6,123,145,177,0,6,169,203,229,0,6,238.999202749923,268.139388288754,297.279593450766,86,1,209.160584582391,51,"EVI","MFR","1+",238.999202749923,116,1,365,169,297.279593450766
"CK","fraser","Lower Thompson River (Spring 4-2)","LTh",110.2,130.8,158,5,2,110.2,127.75,150.5,4,4,102,165,211,14,3,226.025254870085,244.659649749039,263.294010750039,258,1,206.625452766071,177,NA,"LTh","1+",226.025254870085,158,1,365,102,263.294010750039
"CK","fraser","Middle Fraser River-Portage (Fall 5-2)","MFR",118.5,130,147.5,2,4,118.5,123,155,1,5,235,256,290,0,6,269.893878234042,287.983334147706,306.072752869298,38,1,262.522504705226,29,NA,"MFR","1+",269.893878234042,147.5,1,365,235,306.072752869298
"CK","fraser","Middle Fraser River (Spring 5-2)","MFR",117.75,135.25,155,4,4,128,146,164,2,4,120,171,226,16,3,225.057548230539,239.596377702102,254.135234675861,363,1,214.541690140731,243,NA,"MFR","1+",225.057548230539,155,1,365,120,254.135234675861
