"species","region","culabel","dat_qual","start","end","stage"
"CK","central coast","Bella Coola-Bentinck",6,2022-08-04,2023-01-01,"Incubation"
"CK","central coast","Dean River",6,2022-08-09,2023-01-01,"Incubation"
"CK","central coast","Docee",6,2022-09-11,2023-01-01,"Incubation"
"CK","central coast","North & Central Coast-Early",1,2022-08-04,2023-01-01,"Incubation"
"CK","central coast","North & Central Coast-Late",6,2022-08-04,2023-01-01,"Incubation"
"CK","central coast","Rivers Inlet",6,2022-08-16,2023-01-01,"Incubation"
"CK","central coast","Wannock",6,2022-09-18,2023-01-01,"Incubation"
"CK","columbia","Okanagan",NA,NA,2023-01-01,"Incubation"
"CK","fraser","Boundary Bay (Fall 4-1)",6,2022-08-31,2023-01-01,"Incubation"
"CK","fraser","Fraser-Harrison Fall Transplant (Fall 4-1)",6,2022-08-31,2023-01-01,"Incubation"
"CK","fraser","Fraser Canyon-Nahatlatch (Spring 5-2)",6,2022-09-08,2023-01-01,"Incubation"
"CK","fraser","Lower Fraser River-Maria Slough (Summer 4-1)",6,2022-09-22,2023-01-01,"Incubation"
"CK","fraser","Lower Fraser River-Upper Pitt (Summer 5-2)",6,2022-08-07,2023-01-01,"Incubation"
"CK","fraser","Lower Fraser River (Fall 4-1)",6,2022-10-13,2023-01-01,"Incubation"
"CK","fraser","Lower Fraser River (Spring 5-2)",6,2022-05-14,2023-01-01,"Incubation"
"CK","fraser","Lower Fraser River (Summer 5-2)",6,2022-08-27,2023-01-01,"Incubation"
"CK","fraser","Lower Thompson River (Spring 4-2)",2,2022-08-15,2023-01-01,"Incubation"
"CK","fraser","Middle Fraser River-Portage (Fall 5-2)",4,2022-09-27,2023-01-01,"Incubation"
"CK","fraser","Middle Fraser River (Spring 5-2)",4,2022-08-14,2023-01-01,"Incubation"
"CK","fraser","Middle Fraser River (Summer 5-2)",1,2022-09-05,2023-01-01,"Incubation"
"CK","fraser","North Thompson River (Spring 5-2)",4,2022-08-12,2023-01-01,"Incubation"
"CK","fraser","North Thompson River (Summer 5-2)",4,2022-09-04,2023-01-01,"Incubation"
"CK","fraser","Shuswap River (Summer 4-1)",6,2022-09-11,2023-01-01,"Incubation"
"CK","fraser","South Thompson-Adams River Upper",4,2022-09-07,2023-01-01,"Incubation"
"CK","fraser","South Thompson River-Bessette Creek (Summer 4-2)",6,2022-09-10,2023-01-01,"Incubation"
"CK","fraser","South Thompson River (Summer 4-1)",6,2022-09-18,2023-01-01,"Incubation"
"CK","fraser","South Thompson River (Summer 5-2)",4,2022-08-31,2023-01-01,"Incubation"
"CK","fraser","Upper Fraser River (Spring 5-2)",2,2022-08-13,2023-01-01,"Incubation"
"CK","haida gwaii","East Haida Gwaii",6,2022-08-13,2023-01-01,"Incubation"
"CK","haida gwaii","North Haida Gwaii",6,2022-08-10,2023-01-01,"Incubation"
"CK","nass","Portland Sound-Observatory Inlet-Lower Nass",6,2022-07-29,2023-01-01,"Incubation"
"CK","nass","Upper Nass",6,2022-08-09,2023-01-01,"Incubation"
"CK","skeena","Ecstall",6,2022-08-24,2023-01-01,"Incubation"
"CK","skeena","Kalum-Early",6,2022-08-13,2023-01-01,"Incubation"
"CK","skeena","Kalum-Late",6,2022-08-27,2023-01-01,"Incubation"
"CK","skeena","Lakelse",6,2022-08-21,2023-01-01,"Incubation"
"CK","skeena","Lower Skeena",6,2022-08-16,2023-01-01,"Incubation"
"CK","skeena","Middle Skeena-Large Lakes",2,2022-08-28,2023-01-01,"Incubation"
"CK","skeena","Middle Skeena-Mainstem Tributaries",6,2022-08-15,2023-01-01,"Incubation"
"CK","skeena","Sicintine",6,2022-08-18,2023-01-01,"Incubation"
"CK","skeena","Skeena Estuary",6,2022-09-06,2023-01-01,"Incubation"
"CK","skeena","Upper Bulkley River",6,2022-08-16,2023-01-01,"Incubation"
"CK","skeena","Upper Skeena",6,2022-08-13,2023-01-01,"Incubation"
"CK","skeena","Zymoetz",6,2022-08-13,2023-01-01,"Incubation"
"CK","transboundary","Alsek",NA,NA,2023-01-01,"Incubation"
"CK","transboundary","Lynn Canal",6,NA,2023-01-01,"Incubation"
"CK","transboundary","Stikine-Early Timing",6,NA,2023-01-01,"Incubation"
"CK","transboundary","Stikine-Late Timing",6,NA,2023-01-01,"Incubation"
"CK","transboundary","Taku-Early Timing",6,NA,2023-01-01,"Incubation"
"CK","transboundary","Taku-Late Timing",6,NA,2023-01-01,"Incubation"
"CK","transboundary","Taku-Mid Timing",6,NA,2023-01-01,"Incubation"
"CK","transboundary","Unuk",6,NA,2023-01-01,"Incubation"
"CK","transboundary","Whiting",6,NA,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","East Vancouver Island-Cowichan and Koksilah (Fall x-1)",1,2022-09-20,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","East Vancouver Island-Georgia Strait (Summer 4-1)",6,2022-08-20,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","East Vancouver Island-Goldstream (Fall x-1)",6,2022-10-18,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","East Vancouver Island-Nanaimo (Spring x-2)",6,2022-09-10,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","East Vancouver Island-Nanaimo and Chemainus (Fall x-1)",6,2022-09-22,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","East Vancouver Island-North (Fall x-1)",6,2022-09-05,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","East Vancouver Island-Qualicum and Puntledge (Fall x-1)",4,2022-09-27,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","Homathko (Summer x-x)",6,2022-08-18,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","Klinaklini (Summer 5-2)",3,2022-07-16,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","Southern Mainland-Georgia Strait (Fall x-1)",6,2022-08-08,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","Southern Mainland-Southern Fjords (Fall x-1)",6,2022-08-02,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","West Vancouver Island-Nootka and Kyuquot (Fall x-1)",6,2022-09-15,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","West Vancouver Island-North (Fall x-1)",6,2022-09-09,2023-01-01,"Incubation"
"CK","vancouver island and mainland inlets","West Vancouver Island-South (Fall x-1)",6,2022-10-01,2023-01-01,"Incubation"
"CM","central coast","Bella Coola-Dean Rivers",NA,2022-08-08,2023-01-01,"Incubation"
"CM","central coast","Bella Coola River-Late",NA,2022-09-18,2023-01-01,"Incubation"
"CM","central coast","Douglas-Gardner",NA,2022-08-13,2023-01-01,"Incubation"
"CM","central coast","Hecate Lowlands",NA,2022-09-04,2023-01-01,"Incubation"
"CM","central coast","Mussel-Kynoch",NA,2022-08-26,2023-01-01,"Incubation"
"CM","central coast","Rivers Inlet",NA,2022-08-31,2023-01-01,"Incubation"
"CM","central coast","Smith Inlet",NA,2022-09-09,2023-01-01,"Incubation"
"CM","central coast","Spiller-Fitz-Hugh-Burke",NA,2022-09-04,2023-01-01,"Incubation"
"CM","central coast","Wannock",NA,2022-10-12,2023-01-01,"Incubation"
"CM","fraser","Lower Fraser",NA,2022-10-19,2023-01-01,"Incubation"
"CM","haida gwaii","East Haida Gwaii",NA,2022-09-27,2023-01-01,"Incubation"
"CM","haida gwaii","North Haida Gwaii",NA,2022-10-03,2023-01-01,"Incubation"
"CM","haida gwaii","North Haida Gwaii-Stanley Creek",NA,2022-08-29,2023-01-01,"Incubation"
"CM","haida gwaii","Skidegate",NA,2022-09-16,2023-01-01,"Incubation"
"CM","haida gwaii","West Haida Gwaii",NA,2022-09-18,2023-01-01,"Incubation"
"CM","nass","Lower Nass",NA,2022-08-31,2023-01-01,"Incubation"
"CM","nass","Portland Canal-Observatory",NA,2022-08-05,2023-01-01,"Incubation"
"CM","nass","Portland Inlet",NA,2022-08-13,2023-01-01,"Incubation"
"CM","skeena","Lower Skeena",NA,2022-08-23,2023-01-01,"Incubation"
"CM","skeena","Middle Skeena",NA,2022-08-22,2023-01-01,"Incubation"
"CM","skeena","Skeena Estuary",NA,2022-09-03,2023-01-01,"Incubation"
"CM","skeena","Upper Skeena",NA,2022-08-23,2023-01-01,"Incubation"
"CM","transboundary","Lower Stikine",NA,NA,2023-01-01,"Incubation"
"CM","transboundary","Lynn Canal",NA,NA,2023-01-01,"Incubation"
"CM","transboundary","Taku",NA,NA,2023-01-01,"Incubation"
"CM","transboundary","Unuk",NA,NA,2023-01-01,"Incubation"
