"","cuid","species","cu_name","generation_length","incubation_start","incubation_duration_days","fw_rearing_start","fw_rearing_duration_days","ocean_entry_age_yrs","ocean_entry_peak","marine_residence_time_yrs","run_timing_start","run_timing_peak","run_timing_end","mig_duration_days","spawn_timing_start","spawn_timing_peak","spawn_timing_end","spawn_duration_days"
"1",302,"Chinook","Boundary Bay (Fall 4-1)",5,"05-Oct",204,"04-Mar",100,"0+","03-Jun","3+","23-Aug","13-Sep","17-Oct",44,"05-Oct","15-Nov","26-Dec",83
"2",303,"Chinook","Lower Fraser River (Fall 4-1)",4,"12-Oct",197,"04-Mar",102,"0+","31-May","3+","29-Aug","13-Sep","16-Oct",45,"12-Oct","09-Nov","07-Dec",57
"3",304,"Chinook","Lower Fraser River (Spring 5-2)",5,"14-May",348,"04-Mar",479,"1+","25-May","3+","01-Apr","08-Apr","29-May",44,"14-May","21-Jun","30-Jul",78
"4",305,"Chinook","Lower Fraser River-Upper Pitt (Summer 5-2)",5,"07-Aug",263,"04-Mar",479,"1+","25-May","3+","18-Jun","22-Jul","17-Aug",51,"07-Aug","27-Aug","18-Sep",43
"5",306,"Chinook","Lower Fraser River (Summer 5-2)",5,"27-Aug",243,"04-Mar",479,"1+","25-May","3+","18-Jun","22-Jul","17-Aug",71,"27-Aug","25-Sep","24-Oct",59
"6",307,"Chinook","Lower Fraser River-Maria Slough (Summer 4-1)",4,"21-Sep",218,"04-Mar",114,"0+","25-May","3+","27-Jul","13-Aug","19-Aug",57,"21-Sep","13-Oct","04-Nov",46
"7",308,"Chinook","Fraser Canyon-Nahatlatch (Spring 5-2)",5,"08-Sep",266,"19-Apr",433,"1+","25-May","3+","29-Apr","20-Jun","21-Aug",133,"08-Sep","23-Sep","09-Oct",32
"8",309,"Chinook","Middle Fraser River-Portage (Fall 5-2)",5,"27-Sep",244,"28-Apr",402,"1+","03-May","3+","23-Aug","13-Sep","17-Oct",36,"27-Sep","14-Oct","02-Nov",37
"9",310,"Chinook","Middle Fraser River (Spring 5-2)",5,"13-Aug",296,"28-Apr",411,"1+","26-May","3+","30-Apr","20-Jun","14-Aug",106,"13-Aug","27-Aug","11-Sep",30
"10",311,"Chinook","Middle Fraser River (Summer 5-2)",5,"04-Sep",269,"15-Apr",440,"1+","24-May","3+","19-Jun","22-Jul","16-Aug",78,"04-Sep","18-Sep","02-Oct",29
"11",312,"Chinook","Upper Fraser River (Spring 5-2)",5,"12-Aug",302,"22-Apr",418,"1+","29-May","3+","27-May","19-Jun","16-Jul",78,"12-Aug","24-Aug","06-Sep",26
"12",313,"Chinook","South Thompson River (Summer 4-1)",4,"17-Sep",245,"04-Apr",73,"0+","27-May","3+","02-Aug","16-Aug","11-Sep",47,"17-Sep","07-Oct","27-Oct",41
"13",314,"Chinook","South Thompson River (Summer 5-2)",5,"30-Aug",262,"04-Apr",424,"1+","16-May","3+","24-May","21-Jun","04-Aug",99,"30-Aug","19-Sep","10-Oct",43
"14",315,"Chinook","Shuswap River (Summer 4-1)",4,"10-Sep",252,"04-Apr",45,"0+","05-May","3+","22-Jun","23-Jul","10-Aug",81,"10-Sep","04-Oct","27-Oct",49
"15",316,"Chinook","South Thompson River-Bessette Creek (Summer 4-2)",4,"09-Sep",253,"04-Apr",424,"1+","16-May","2+","25-Jun","27-Jul","11-Aug",77,"09-Sep","24-Sep","10-Oct",32
"16",317,"Chinook","Lower Thompson River (Spring 4-2)",4,"14-Aug",298,"20-Apr",405,"1+","07-May","2+","12-Apr","14-Jun","30-Jul",125,"14-Aug","01-Sep","20-Sep",38
"17",318,"Chinook","North Thompson River (Spring 5-2)",5,"11-Aug",285,"03-Apr",422,"1+","08-May","3+","23-Jun","11-Jul","04-Aug",50,"11-Aug","26-Aug","10-Sep",31
"18",319,"Chinook","North Thompson River (Summer 5-2)",5,"04-Sep",276,"30-Apr",395,"1+","08-May","3+","02-Jun","20-Jul","12-Aug",95,"04-Sep","18-Sep","02-Oct",30
"19",333,"Chinook","South Thompson-Adams River Upper",5,"07-Sep",256,"03-Apr",425,"1+","16-May","3+","23-Aug","13-Sep","17-Oct",16,"07-Sep","20-Sep","03-Oct",28
"20",701,"Chum","Lower Fraser",4,"19-Oct",217,NA,0,"0+","28-Apr","3+","26-Sep","25-Oct","22-Nov",24,"19-Oct","13-Nov","09-Dec",53
"21",704,"Coho","Lillooet",4,"27-Oct",232,"05-May",403,"1+","28-May","1+","08-Sep","27-Sep","14-Oct",50,"27-Oct","17-Nov","09-Dec",44
"22",705,"Coho","Fraser Canyon",4,"03-Nov",225,"05-May",403,"1+","28-May","1+","08-Sep","27-Sep","14-Oct",57,"03-Nov","25-Nov","19-Dec",47
"23",707,"Coho","Lower Thompson",4,"26-Oct",247,"10-May",412,"1+","30-May","1+","08-Sep","27-Sep","14-Oct",49,"26-Oct","15-Nov","06-Dec",42
"24",708,"Coho","South Thompson",4,"27-Oct",218,"19-Apr",433,"1+","30-May","1+","08-Sep","27-Sep","14-Oct",50,"27-Oct","13-Nov","01-Dec",36
"25",709,"Coho","North Thompson",4,"31-Oct",226,"17-Apr",435,"1+","30-May","1+","08-Sep","27-Sep","14-Oct",54,"31-Oct","15-Nov","01-Dec",32
"26",749,"Coho","Interior Fraser",4,"27-Oct",232,"05-May",403,"1+","27-May","1+","08-Sep","20-Sep","14-Oct",50,"27-Oct","19-Nov","12-Dec",48
"27",750,"Coho","Lower Fraser",4,"28-Oct",206,"29-Mar",441,"1+","23-May","1+","17-Sep","11-Oct","24-Oct",42,"28-Oct","27-Nov","28-Dec",63
"28",906,"Coho","Boundary Bay",4,"06-Oct",228,"29-Mar",430,"1+","14-May","1+","17-Sep","11-Oct","24-Oct",20,"06-Oct","13-Nov","20-Dec",77
"29",710,"Pink","Fraser River (odd)",2,"29-Sep",228,NA,0,"0+","22-Apr","1+","23-Aug","09-Sep","23-Sep",38,"29-Sep","14-Oct","29-Oct",32
"30",711,"Sockeye","Chilliwack-Early Summer (cyclic)",4,"14-Aug",291,"21-Apr",383,"1+","25-Apr","2+","01-Jul","03-Aug","26-Aug",3,"14-Aug","28-Aug","12-Sep",31
"31",712,"Sockeye","Cultus-Late",4,"09-Nov",204,"21-Apr",390,"1+","24-Apr","2+","03-Aug","04-Sep","14-Sep",6,"09-Nov","24-Nov","09-Dec",31
"32",713,"Sockeye","Harrison-Downstream Migrating-Late",4,"04-Sep",270,"21-Apr",393,"1+","01-May","2+","05-Aug","22-Aug","11-Sep",6,"04-Sep","21-Sep","09-Oct",37
"33",714,"Sockeye","Harrison-Upstream Migrating-Late",4,"22-Sep",252,"21-Apr",396,"1+","04-May","2+","03-Aug","21-Aug","14-Sep",6,"22-Sep","22-Oct","22-Nov",62
"34",715,"Sockeye","Pitt-Early Summer",4,"25-Aug",280,"21-Apr",393,"1+","01-May","2+","13-Jul","03-Aug","26-Aug",1,"25-Aug","11-Sep","28-Sep",36
"35",716,"Sockeye","Lillooet-Harrison-Late",4,"14-Sep",260,"21-Apr",396,"1+","04-May","2+","05-Aug","22-Aug","11-Sep",13,"14-Sep","02-Oct","20-Oct",38
"36",718,"Sockeye","Nahatlatch-Early Summer",4,"18-Aug",287,"21-Apr",387,"1+","01-May","2+","13-Jul","03-Aug","26-Aug",5,"18-Aug","07-Sep","28-Sep",42
"37",719,"Sockeye","Anderson-Seton-Early Summer",4,"14-Aug",278,"06-Apr",409,"1+","03-May","2+","01-Jul","03-Aug","26-Aug",6,"14-Aug","03-Sep","23-Sep",42
"38",720,"Sockeye","Chilko-Early Summer",4,"01-Sep",282,"08-May",378,"1+","06-May","2+","13-Jul","03-Aug","26-Aug",14,"01-Sep","15-Sep","30-Sep",31
"39",721,"Sockeye","Chilko-Summer",4,"10-Sep",271,"05-May",381,"1+","06-May","2+","27-Jul","13-Aug","03-Sep",17,"10-Sep","25-Sep","10-Oct",31
"40",725,"Sockeye","Francois-Fraser-Summer",4,"14-Sep",259,"23-Apr",389,"1+","04-May","2+","27-Jul","13-Aug","03-Sep",23,"14-Sep","19-Sep","24-Sep",11
"41",727,"Sockeye","Nadina-Francois-Early Summer",4,"04-Sep",270,"21-Apr",396,"1+","02-May","2+","13-Jul","03-Aug","26-Aug",19,"04-Sep","19-Sep","04-Oct",31
"42",728,"Sockeye","Quesnel-Summer (cyclic)",4,"05-Sep",277,"19-Apr",392,"1+","05-May","2+","31-Jul","17-Aug","07-Sep",18,"05-Sep","17-Sep","29-Sep",26
"43",729,"Sockeye","Seton-Late (de novo)",4,"15-Oct",211,"17-Apr",404,"1+","11-May","2+","05-Aug","21-Aug","14-Sep",17,"15-Oct","27-Oct","08-Nov",26
"44",731,"Sockeye","Takla-Trembleur-Stuart-Summer (cyclic)",4,"12-Sep",262,"21-Apr",400,"1+","10-May","2+","27-Jul","13-Aug","03-Sep",26,"12-Sep","20-Sep","29-Sep",18
"45",732,"Sockeye","Takla-Trembleur-Early Stuart (cyclic)",4,"30-Jul",305,"16-Apr",402,"1+","08-May","2+","28-Jun","10-Jul","26-Jul",24,"30-Jul","09-Aug","19-Aug",22
"46",734,"Sockeye","Taseko-Early Summer",4,"09-Aug",296,"21-Apr",396,"1+","07-May","2+","13-Jul","03-Aug","26-Aug",14,"09-Aug","28-Aug","17-Sep",40
"47",735,"Sockeye","Bowron-Early Summer",4,"17-Aug",288,"21-Apr",396,"1+","07-May","2+","13-Jul","03-Aug","26-Aug",21,"17-Aug","01-Sep","17-Sep",32
"48",738,"Sockeye","Shuswap-Early Summer (cyclic)",4,"25-Aug",268,"03-Apr",426,"1+","16-May","2+","13-Jul","03-Aug","26-Aug",10,"25-Aug","13-Sep","02-Oct",39
"49",739,"Sockeye","Shuswap-Late (cyclic)",4,"02-Oct",230,"03-Apr",419,"1+","11-May","2+","05-Aug","22-Aug","11-Sep",25,"02-Oct","19-Oct","05-Nov",35
