"","cuid","model","rcp","period","exp_weighted","exp_simple"
"1",302,"ACCESS1-0","rcp45","hist",0.181755533371503,0.105374124124124
"2",302,"ACCESS1-0","rcp45","early",0.20903441464278,0.132175925925926
"3",302,"ACCESS1-0","rcp45","mid",0.258641300181224,0.171552802802803
"4",302,"ACCESS1-0","rcp45","late",0.334239989970571,0.216471828971829
"5",302,"ACCESS1-0","rcp85","hist",0.181723847693429,0.105286536536537
"6",302,"ACCESS1-0","rcp85","early",0.219697522073948,0.142073323323323
"7",302,"ACCESS1-0","rcp85","mid",0.311287645603235,0.199055305305305
"8",302,"ACCESS1-0","rcp85","late",0.435843993679409,0.266637172887173
"9",302,"CanESM2","rcp45","hist",0.142644885515608,0.0795482982982983
"10",302,"CanESM2","rcp45","early",0.183276731375591,0.104241741741742
"11",302,"CanESM2","rcp45","mid",0.241658143749399,0.130067567567568
"12",302,"CanESM2","rcp45","late",0.304300997280356,0.159856284856285
"13",302,"CanESM2","rcp85","hist",0.142717309922633,0.0797484984984985
"14",302,"CanESM2","rcp85","early",0.189737306562402,0.105868368368368
"15",302,"CanESM2","rcp85","mid",0.287673741095794,0.150663163163163
"16",302,"CanESM2","rcp85","late",0.459423188999506,0.22278171028171
"17",302,"CCSM4","rcp45","hist",0.185799841123035,0.100012512512513
"18",302,"CCSM4","rcp45","early",0.25450992817913,0.128328328328328
"19",302,"CCSM4","rcp45","mid",0.288554374580991,0.143643643643644
"20",302,"CCSM4","rcp45","late",0.320967104685193,0.165710353210353
"21",302,"CCSM4","rcp85","hist",0.185808894173913,0.100037537537538
"22",302,"CCSM4","rcp85","early",0.270576116583721,0.139214214214214
"23",302,"CCSM4","rcp85","mid",0.33954959848496,0.169857357357357
"24",302,"CCSM4","rcp85","late",0.503836515766174,0.234553303303303
"25",302,"CNRM-CM5","rcp45","hist",0.151975155492266,0.0939189189189189
"26",302,"CNRM-CM5","rcp45","early",0.171501566748715,0.110485485485485
"27",302,"CNRM-CM5","rcp45","mid",0.190079283520348,0.121721721721722
"28",302,"CNRM-CM5","rcp45","late",0.225743445393092,0.143325468325468
"29",302,"CNRM-CM5","rcp85","hist",0.151975155492266,0.0939189189189189
"30",302,"CNRM-CM5","rcp85","early",0.177587704488845,0.113288288288288
"31",302,"CNRM-CM5","rcp85","mid",0.209673878114943,0.131769269269269
"32",302,"CNRM-CM5","rcp85","late",0.284200518319204,0.179262298012298
"33",302,"HadGEM2-ES","rcp45","hist",0.132131520439505,0.0744119119119119
"34",302,"HadGEM2-ES","rcp45","early",0.165668017283987,0.0956456456456456
"35",302,"HadGEM2-ES","rcp45","mid",0.237943212087699,0.144381881881882
"36",302,"HadGEM2-ES","rcp45","late",0.244695640390915,0.161960770294104
"37",302,"HadGEM2-ES","rcp85","hist",0.132267316202677,0.0747872872872873
"38",302,"HadGEM2-ES","rcp85","early",0.171728219256736,0.103866366366366
"39",302,"HadGEM2-ES","rcp85","mid",0.2333307642243,0.154917417417417
"40",302,"HadGEM2-ES","rcp85","late",0.362546328434433,0.232616545116545
"41",302,"MPI-ESM-LR","rcp45","hist",0.134260618576208,0.0773648648648649
"42",302,"MPI-ESM-LR","rcp45","early",0.153441831293542,0.0923298298298298
"43",302,"MPI-ESM-LR","rcp45","mid",0.186490401319299,0.107257257257257
"44",302,"MPI-ESM-LR","rcp45","late",0.194660578752105,0.122168597168597
"45",302,"MPI-ESM-LR","rcp85","hist",0.134260618576208,0.0773648648648649
"46",302,"MPI-ESM-LR","rcp85","early",0.166697659093096,0.100475475475475
"47",302,"MPI-ESM-LR","rcp85","mid",0.216788882853522,0.125406656656657
"48",302,"MPI-ESM-LR","rcp85","late",0.283193823722069,0.168303124553125
"49",303,"ACCESS1-0","rcp45","hist",0.189346314628269,0.100759622435201
"50",303,"ACCESS1-0","rcp45","early",0.220528396280276,0.13921026622374
"51",303,"ACCESS1-0","rcp45","mid",0.281088298287546,0.198320014332328
"52",303,"ACCESS1-0","rcp45","late",0.365037842234036,0.258724168520636
"53",303,"ACCESS1-0","rcp85","hist",0.18941066469262,0.100865505352437
"54",303,"ACCESS1-0","rcp85","early",0.235247062314731,0.155543360025355
"55",303,"ACCESS1-0","rcp85","mid",0.339347645174713,0.23787463542591
"56",303,"ACCESS1-0","rcp85","late",0.482062343457785,0.340430272886511
"57",303,"CanESM2","rcp45","hist",0.148200254497247,0.0713785852539268
"58",303,"CanESM2","rcp45","early",0.194757727652464,0.113097019470919
"59",303,"CanESM2","rcp45","mid",0.259684039571258,0.150418483025441
"60",303,"CanESM2","rcp45","late",0.326372583951744,0.181980976034063
"61",303,"CanESM2","rcp85","hist",0.148218640229918,0.0713865422335229
