"","cuid","stage","model","rcp","period","p_j","n_j"
"1",302,"eggs_alevin","ACCESS1-0","rcp45","hist",0,212
"2",302,"eggs_alevin","ACCESS1-0","rcp45","early",0,212
"3",302,"eggs_alevin","ACCESS1-0","rcp45","mid",0,212
"4",302,"eggs_alevin","ACCESS1-0","rcp45","late",0,212
"5",302,"eggs_alevin","ACCESS1-0","rcp85","hist",0,212
"6",302,"eggs_alevin","ACCESS1-0","rcp85","early",0,212
"7",302,"eggs_alevin","ACCESS1-0","rcp85","mid",0,212
"8",302,"eggs_alevin","ACCESS1-0","rcp85","late",0,212
"9",302,"eggs_alevin","CanESM2","rcp45","hist",0,212
"10",302,"eggs_alevin","CanESM2","rcp45","early",0,212
"11",302,"eggs_alevin","CanESM2","rcp45","mid",0,212
"12",302,"eggs_alevin","CanESM2","rcp45","late",0,212
"13",302,"eggs_alevin","CanESM2","rcp85","hist",0,212
"14",302,"eggs_alevin","CanESM2","rcp85","early",0,212
"15",302,"eggs_alevin","CanESM2","rcp85","mid",0,212
"16",302,"eggs_alevin","CanESM2","rcp85","late",0,212
"17",302,"eggs_alevin","CCSM4","rcp45","hist",0,212
"18",302,"eggs_alevin","CCSM4","rcp45","early",0,212
"19",302,"eggs_alevin","CCSM4","rcp45","mid",0,212
"20",302,"eggs_alevin","CCSM4","rcp45","late",0,212
"21",302,"eggs_alevin","CCSM4","rcp85","hist",0,212
"22",302,"eggs_alevin","CCSM4","rcp85","early",0,212
"23",302,"eggs_alevin","CCSM4","rcp85","mid",0,212
"24",302,"eggs_alevin","CCSM4","rcp85","late",0,212
"25",302,"eggs_alevin","CNRM-CM5","rcp45","hist",0,212
"26",302,"eggs_alevin","CNRM-CM5","rcp45","early",0,212
"27",302,"eggs_alevin","CNRM-CM5","rcp45","mid",0,212
"28",302,"eggs_alevin","CNRM-CM5","rcp45","late",0,212
"29",302,"eggs_alevin","CNRM-CM5","rcp85","hist",0,212
"30",302,"eggs_alevin","CNRM-CM5","rcp85","early",0,212
"31",302,"eggs_alevin","CNRM-CM5","rcp85","mid",0,212
"32",302,"eggs_alevin","CNRM-CM5","rcp85","late",0,212
"33",302,"eggs_alevin","HadGEM2-ES","rcp45","hist",0,212
"34",302,"eggs_alevin","HadGEM2-ES","rcp45","early",0,212
"35",302,"eggs_alevin","HadGEM2-ES","rcp45","mid",0,212
"36",302,"eggs_alevin","HadGEM2-ES","rcp45","late",0,212
"37",302,"eggs_alevin","HadGEM2-ES","rcp85","hist",0,212
"38",302,"eggs_alevin","HadGEM2-ES","rcp85","early",0,212
"39",302,"eggs_alevin","HadGEM2-ES","rcp85","mid",0,212
"40",302,"eggs_alevin","HadGEM2-ES","rcp85","late",0,212
"41",302,"eggs_alevin","MPI-ESM-LR","rcp45","hist",0,212
"42",302,"eggs_alevin","MPI-ESM-LR","rcp45","early",0,212
"43",302,"eggs_alevin","MPI-ESM-LR","rcp45","mid",0,212
"44",302,"eggs_alevin","MPI-ESM-LR","rcp45","late",0,212
"45",302,"eggs_alevin","MPI-ESM-LR","rcp85","hist",0,212
"46",302,"eggs_alevin","MPI-ESM-LR","rcp85","early",0,212
"47",302,"eggs_alevin","MPI-ESM-LR","rcp85","mid",0,212
"48",302,"eggs_alevin","MPI-ESM-LR","rcp85","late",0,212
"49",302,"fw_rearing","ACCESS1-0","rcp45","hist",0.0350600600600601,111
"50",302,"fw_rearing","ACCESS1-0","rcp45","early",0.065990990990991,111
"51",302,"fw_rearing","ACCESS1-0","rcp45","mid",0.101426426426426,111
"52",302,"fw_rearing","ACCESS1-0","rcp45","late",0.12012012012012,111
"53",302,"fw_rearing","ACCESS1-0","rcp85","hist",0.0345345345345345,111
"54",302,"fw_rearing","ACCESS1-0","rcp85","early",0.0686936936936937,111
"55",302,"fw_rearing","ACCESS1-0","rcp85","mid",0.101276276276276,111
"56",302,"fw_rearing","ACCESS1-0","rcp85","late",0.170345345345345,111
"57",302,"fw_rearing","CanESM2","rcp45","hist",0.026951951951952,111
"58",302,"fw_rearing","CanESM2","rcp45","early",0.0492492492492492,111
"59",302,"fw_rearing","CanESM2","rcp45","mid",0.0533033033033033,111
"60",302,"fw_rearing","CanESM2","rcp45","late",0.0811561561561562,111
"61",302,"fw_rearing","CanESM2","rcp85","hist",0.0281531531531532,111
"62",302,"fw_rearing","CanESM2","rcp85","early",0.0560810810810811,111
"63",302,"fw_rearing","CanESM2","rcp85","mid",0.0810810810810811,111
"64",302,"fw_rearing","CanESM2","rcp85","late",0.125600600600601,111
"65",302,"fw_rearing","CCSM4","rcp45","hist",0.031981981981982,111
"66",302,"fw_rearing","CCSM4","rcp45","early",0.0338588588588589,111
"67",302,"fw_rearing","CCSM4","rcp45","mid",0.0688438438438438,111
"68",302,"fw_rearing","CCSM4","rcp45","late",0.0666666666666667,111
"69",302,"fw_rearing","CCSM4","rcp85","hist",0.0321321321321321,111
"70",302,"fw_rearing","CCSM4","rcp85","early",0.0487987987987988,111
